year,week,cocaine
2018,1,92
2018,2,85
2018,3,75
2018,4,76
2018,5,73
2018,6,87
2018,7,65
2018,8,81
2018,9,73
2018,10,84
2018,11,73
2018,12,91
2018,13,94
2018,14,62
2018,15,69
2018,16,76
2018,17,79
2018,18,79
2018,19,66
2018,20,71
2018,21,62
2018,22,73
2018,23,74
2018,24,76
2018,25,96
2018,26,71
2018,27,71
2018,28,81
2018,29,96
2018,30,82
2018,31,77
2018,32,88
2018,33,71
2018,34,89
2018,35,100
2018,36,76
2018,37,90
2018,38,80
2018,39,76
2018,40,84
2018,41,93
2018,42,89
2018,43,83
2018,44,93
2018,45,89
2018,46,87
2018,47,84
2018,48,80
2018,49,91
2018,50,89
2018,51,86
2018,52,84
2019,1,76
2019,2,62
2019,3,65
2019,4,57
2019,5,61
2019,6,85
2019,7,68
2019,8,56
2019,9,64
2019,10,53
2019,11,65
2019,12,71
2019,13,92
2019,14,61
2019,15,57
2019,16,60
2019,17,65
2019,18,46
2019,19,67
2019,20,63
2019,21,56
2019,22,61
2019,23,77
2019,24,62
2019,25,52
2019,26,48
2019,27,68
2019,28,100
2019,29,60
2019,30,67
2019,31,59
2019,32,61
2019,33,60
2019,34,61
2019,35,66
2019,36,51
2019,37,79
2019,38,79
2019,39,67
2019,40,54
2019,41,77
2019,42,59
2019,43,51
2019,44,58
2019,45,78
2019,46,77
2019,47,58
2019,48,62
2019,49,80
2019,50,66
2019,51,66
2019,52,74
2020,1,60
2020,2,71
2020,3,67
2020,4,70
2020,5,61
2020,6,51
2020,7,75
2020,8,60
2020,9,58
2020,10,88
2020,11,52
2020,12,62
2020,13,52
2020,14,63
2020,15,77
2020,16,55
2020,17,49
2020,18,84
2020,19,47
2020,20,72
2020,21,55
2020,22,62
2020,23,67
2020,24,53
2020,25,56
2020,26,66
2020,27,66
2020,28,65
2020,29,65
2020,30,62
2020,31,54
2020,32,100
2020,33,57
2020,34,64
2020,35,63
2020,36,53
2020,37,54
2020,38,55
2020,39,61
2020,40,65
2020,41,48
2020,42,73
2020,43,64
2020,44,57
2020,45,67
2020,46,55
2020,47,85
2020,48,56
2020,49,50
2020,50,59
2020,51,71
2020,52,84
2021,1,43
2021,2,41
2021,3,44
2021,4,38
2021,5,35
2021,6,33
2021,7,36
2021,8,49
2021,9,45
2021,10,40
2021,11,44
2021,12,35
2021,13,40
2021,14,52
2021,15,37
2021,16,31
2021,17,32
2021,18,37
2021,19,40
2021,20,39
2021,21,100
2021,22,48
2021,23,45
2021,24,35
2021,25,38
2021,26,62
2021,27,39
2021,28,38
2021,29,48
2021,30,29
2021,31,42
2021,32,43
2021,33,49
2021,34,41
2021,35,36
2021,36,36
2021,37,48
2021,38,48
2021,39,42
2021,40,33
2021,41,41
2021,42,37
2021,43,36
2021,44,38
2021,45,41
2021,46,39
2021,47,36
2021,48,35
2021,49,41
2021,50,40
2021,51,33
2021,52,61
2022,1,82
2022,2,69
2022,3,60
2022,4,78
2022,5,77
2022,6,69
2022,7,75
2022,8,77
2022,9,68
2022,10,87
2022,11,73
2022,12,68
2022,13,70
2022,14,78
2022,15,73
2022,16,85
2022,17,95
2022,18,75
2022,19,75
2022,20,72
2022,21,77
2022,22,59
2022,23,74
2022,24,73
2022,25,68
2022,26,65
2022,27,72
2022,28,74
2022,29,59
2022,30,74
2022,31,73
2022,32,54
2022,33,72
2022,34,59
2022,35,75
2022,36,75
2022,37,66
2022,38,100
2022,39,76
2022,40,77
2022,41,64
2022,42,79
2022,43,83
2022,44,66
2022,45,62
2022,46,67
2022,47,60
2022,48,87
2022,49,93
2022,50,74
2022,51,87
2022,52,91
