year,week,ghb
2018,1,18
2018,2,13
2018,3,10
2018,4,10
2018,5,9
2018,6,12
2018,7,11
2018,8,9
2018,9,10
2018,10,12
2018,11,11
2018,12,10
2018,13,10
2018,14,12
2018,15,10
2018,16,12
2018,17,15
2018,18,17
2018,19,10
2018,20,11
2018,21,8
2018,22,13
2018,23,8
2018,24,10
2018,25,9
2018,26,9
2018,27,10
2018,28,11
2018,29,13
2018,30,9
2018,31,12
2018,32,12
2018,33,9
2018,34,13
2018,35,11
2018,36,13
2018,37,11
2018,38,10
2018,39,9
2018,40,11
2018,41,11
2018,42,13
2018,43,14
2018,44,36
2018,45,17
2018,46,40
2018,47,100
2018,48,87
2018,49,81
2018,50,79
2018,51,43
2018,52,28
2019,1,48
2019,2,50
2019,3,31
2019,4,29
2019,5,35
2019,6,35
2019,7,29
2019,8,31
2019,9,32
2019,10,35
2019,11,25
2019,12,31
2019,13,21
2019,14,25
2019,15,23
2019,16,27
2019,17,27
2019,18,24
2019,19,29
2019,20,30
2019,21,39
2019,22,39
2019,23,38
2019,24,100
2019,25,51
2019,26,35
2019,27,32
2019,28,41
2019,29,42
2019,30,37
2019,31,43
2019,32,44
2019,33,67
2019,34,38
2019,35,38
2019,36,60
2019,37,41
2019,38,31
2019,39,32
2019,40,37
2019,41,39
2019,42,29
2019,43,30
2019,44,34
2019,45,29
2019,46,33
2019,47,30
2019,48,32
2019,49,28
2019,50,38
2019,51,26
2019,52,39
2020,1,61
2020,2,58
2020,3,45
2020,4,43
2020,5,55
2020,6,47
2020,7,100
2020,8,59
2020,9,40
2020,10,55
2020,11,51
2020,12,39
2020,13,32
2020,14,42
2020,15,40
2020,16,35
2020,17,49
2020,18,44
2020,19,44
2020,20,41
2020,21,47
2020,22,43
2020,23,43
2020,24,37
2020,25,30
2020,26,36
2020,27,52
2020,28,47
2020,29,40
2020,30,32
2020,31,39
2020,32,41
2020,33,29
2020,34,32
2020,35,45
2020,36,40
2020,37,42
2020,38,37
2020,39,39
2020,40,38
2020,41,37
2020,42,48
2020,43,58
2020,44,54
2020,45,47
2020,46,51
2020,47,44
2020,48,48
2020,49,26
2020,50,34
2020,51,39
2020,52,36
2021,1,55
2021,2,50
2021,3,50
2021,4,74
2021,5,67
2021,6,57
2021,7,51
2021,8,62
2021,9,50
2021,10,48
2021,11,52
2021,12,44
2021,13,43
2021,14,44
2021,15,51
2021,16,49
2021,17,48
2021,18,24
2021,19,56
2021,20,44
2021,21,55
2021,22,41
2021,23,33
2021,24,52
2021,25,59
2021,26,46
2021,27,37
2021,28,41
2021,29,53
2021,30,56
2021,31,54
2021,32,39
2021,33,68
2021,34,50
2021,35,50
2021,36,42
2021,37,57
2021,38,59
2021,39,45
2021,40,63
2021,41,47
2021,42,64
2021,43,100
2021,44,57
2021,45,47
2021,46,47
2021,47,44
2021,48,55
2021,49,42
2021,50,66
2021,51,49
2021,52,57
2022,1,56
2022,2,53
2022,3,50
2022,4,45
2022,5,100
2022,6,47
2022,7,39
2022,8,47
2022,9,63
2022,10,56
2022,11,71
2022,12,72
2022,13,58
2022,14,46
2022,15,60
2022,16,47
2022,17,64
2022,18,48
2022,19,44
2022,20,55
2022,21,71
2022,22,50
2022,23,52
2022,24,52
2022,25,85
2022,26,55
2022,27,19
2022,28,40
2022,29,44
2022,30,43
2022,31,41
2022,32,70
2022,33,46
2022,34,53
2022,35,42
2022,36,49
2022,37,62
2022,38,48
2022,39,46
2022,40,37
2022,41,41
2022,42,53
2022,43,41
2022,44,43
2022,45,39
2022,46,28
2022,47,44
2022,48,37
2022,49,37
2022,50,46
2022,51,26
2022,52,48
