year,week,xtc
2018,1,34
2018,2,42
2018,3,59
2018,4,49
2018,5,46
2018,6,51
2018,7,50
2018,8,51
2018,9,45
2018,10,46
2018,11,47
2018,12,59
2018,13,65
2018,14,41
2018,15,52
2018,16,84
2018,17,66
2018,18,55
2018,19,57
2018,20,77
2018,21,65
2018,22,89
2018,23,67
2018,24,56
2018,25,57
2018,26,71
2018,27,66
2018,28,74
2018,29,60
2018,30,81
2018,31,84
2018,32,78
2018,33,80
2018,34,72
2018,35,59
2018,36,64
2018,37,47
2018,38,48
2018,39,46
2018,40,60
2018,41,89
2018,42,100
2018,43,61
2018,44,55
2018,45,50
2018,46,61
2018,47,68
2018,48,67
2018,49,59
2018,50,96
2018,51,77
2018,52,92
2019,1,43
2019,2,40
2019,3,42
2019,4,51
2019,5,53
2019,6,52
2019,7,62
2019,8,51
2019,9,46
2019,10,43
2019,11,46
2019,12,43
2019,13,51
2019,14,40
2019,15,49
2019,16,75
2019,17,77
2019,18,54
2019,19,65
2019,20,62
2019,21,85
2019,22,77
2019,23,79
2019,24,49
2019,25,62
2019,26,83
2019,27,75
2019,28,72
2019,29,76
2019,30,72
2019,31,79
2019,32,100
2019,33,90
2019,34,61
2019,35,58
2019,36,62
2019,37,56
2019,38,59
2019,39,53
2019,40,55
2019,41,77
2019,42,64
2019,43,52
2019,44,46
2019,45,51
2019,46,54
2019,47,55
2019,48,42
2019,49,51
2019,50,60
2019,51,58
2019,52,72
2020,1,50
2020,2,47
2020,3,56
2020,4,57
2020,5,61
2020,6,60
2020,7,66
2020,8,62
2020,9,66
2020,10,48
2020,11,42
2020,12,35
2020,13,45
2020,14,41
2020,15,44
2020,16,45
2020,17,58
2020,18,53
2020,19,44
2020,20,49
2020,21,45
2020,22,42
2020,23,48
2020,24,45
2020,25,33
2020,26,49
2020,27,55
2020,28,51
2020,29,50
2020,30,43
2020,31,46
2020,32,52
2020,33,40
2020,34,47
2020,35,38
2020,36,44
2020,37,42
2020,38,40
2020,39,37
2020,40,37
2020,41,42
2020,42,43
2020,43,44
2020,44,49
2020,45,56
2020,46,47
2020,47,46
2020,48,45
2020,49,49
2020,50,45
2020,51,46
2020,52,100
2021,1,49
2021,2,41
2021,3,45
2021,4,44
2021,5,53
2021,6,45
2021,7,64
2021,8,56
2021,9,50
2021,10,56
2021,11,41
2021,12,46
2021,13,51
2021,14,60
2021,15,52
2021,16,54
2021,17,63
2021,18,52
2021,19,54
2021,20,42
2021,21,53
2021,22,47
2021,23,36
2021,24,46
2021,25,47
2021,26,66
2021,27,67
2021,28,39
2021,29,39
2021,30,51
2021,31,50
2021,32,51
2021,33,54
2021,34,62
2021,35,51
2021,36,55
2021,37,56
2021,38,80
2021,39,74
2021,40,58
2021,41,100
2021,42,80
2021,43,58
2021,44,48
2021,45,54
2021,46,40
2021,47,51
2021,48,57
2021,49,42
2021,50,42
2021,51,41
2021,52,88
2022,1,47
2022,2,36
2022,3,27
2022,4,37
2022,5,37
2022,6,33
2022,7,36
2022,8,40
2022,9,39
2022,10,53
2022,11,50
2022,12,41
2022,13,50
2022,14,49
2022,15,66
2022,16,63
2022,17,100
2022,18,55
2022,19,45
2022,20,50
2022,21,70
2022,22,72
2022,23,79
2022,24,56
2022,25,49
2022,26,65
2022,27,77
2022,28,71
2022,29,58
2022,30,60
2022,31,62
2022,32,56
2022,33,71
2022,34,74
2022,35,72
2022,36,55
2022,37,48
2022,38,37
2022,39,39
2022,40,46
2022,41,45
2022,42,87
2022,43,74
2022,44,60
2022,45,49
2022,46,41
2022,47,57
2022,48,42
2022,49,28
2022,50,33
2022,51,31
2022,52,55
